BedLoc,block,Genotype,pop.mf,parent.pop,mf,rep,height.cm,long.leaf.cm,Site,Garden_Lat,Garden_Long,Garden_Elev,elevation.group,elev_m,Lat,Long,GrwSsn_GD_Recent,GrwSsn_GD_Historical,Wtr_Year_GD_Recent,Wtr_Year_GD_Historical,Geographic_Dist,Elev_Dist
L2_41_B,L2,SQ1_2_4,SQ1_2,SQ1,2,4,0.9,0.8,UCD,38.5325,-121.783,16,Mid,1921.036585,36.56435,-118.7764,0.2988229338668648,0.32476525380325294,0.4284632036279818,0.4635438006261669,344080.5527561202,1905.036585
L1_12_C,L1,SQ1_2_9,SQ1_2,SQ1,2,9,0.6,2.3,UCD,38.5325,-121.783,16,Mid,1921.036585,36.56435,-118.7764,0.2988229338668648,0.32476525380325294,0.4284632036279818,0.4635438006261669,344080.5527561202,1905.036585
A_21_C,A,SQ1_2_5,SQ1_2,SQ1,2,5,NA,NA,WL2,38.82599,-120.2509,2020,Mid,1921.036585,36.56435,-118.7764,0.27140493582975944,0.23946004706235813,0.45484279394578625,0.4493608142602979,283280.5411867855,-98.96341499999994
B_28_D,C,SQ1_2_2,SQ1_2,SQ1,2,2,NA,NA,WL2,38.82599,-120.2509,2020,Mid,1921.036585,36.56435,-118.7764,0.27140493582975944,0.23946004706235813,0.45484279394578625,0.4493608142602979,283280.5411867855,-98.96341499999994
B_56_D,B,SQ1_2_1,SQ1_2,SQ1,2,1,2.3,0.6,WL2,38.82599,-120.2509,2020,Mid,1921.036585,36.56435,-118.7764,0.27140493582975944,0.23946004706235813,0.45484279394578625,0.4493608142602979,283280.5411867855,-98.96341499999994
D_56_B,F,SQ1_2_6,SQ1_2,SQ1,2,6,1.7,NA,WL2,38.82599,-120.2509,2020,Mid,1921.036585,36.56435,-118.7764,0.27140493582975944,0.23946004706235813,0.45484279394578625,0.4493608142602979,283280.5411867855,-98.96341499999994
D_10_D,G,SQ1_2_13,SQ1_2,SQ1,2,13,NA,NA,WL2,38.82599,-120.2509,2020,Mid,1921.036585,36.56435,-118.7764,0.27140493582975944,0.23946004706235813,0.45484279394578625,0.4493608142602979,283280.5411867855,-98.96341499999994
E_45_B,H,SQ1_2_12,SQ1_2,SQ1,2,12,NA,NA,WL2,38.82599,-120.2509,2020,Mid,1921.036585,36.56435,-118.7764,0.27140493582975944,0.23946004706235813,0.45484279394578625,0.4493608142602979,283280.5411867855,-98.96341499999994
E_48_C,I,SQ1_2_10,SQ1_2,SQ1,2,10,NA,NA,WL2,38.82599,-120.2509,2020,Mid,1921.036585,36.56435,-118.7764,0.27140493582975944,0.23946004706235813,0.45484279394578625,0.4493608142602979,283280.5411867855,-98.96341499999994
G_3_C,J,SQ1_2_3,SQ1_2,SQ1,2,3,4.1,4,WL2,38.82599,-120.2509,2020,Mid,1921.036585,36.56435,-118.7764,0.27140493582975944,0.23946004706235813,0.45484279394578625,0.4493608142602979,283280.5411867855,-98.96341499999994
I_16_A,L,SQ1_2_11,SQ1_2,SQ1,2,11,NA,NA,WL2,38.82599,-120.2509,2020,Mid,1921.036585,36.56435,-118.7764,0.27140493582975944,0.23946004706235813,0.45484279394578625,0.4493608142602979,283280.5411867855,-98.96341499999994
K_11_C,M,SQ1_2_9,SQ1_2,SQ1,2,9,2.8,2.9,WL2,38.82599,-120.2509,2020,Mid,1921.036585,36.56435,-118.7764,0.27140493582975944,0.23946004706235813,0.45484279394578625,0.4493608142602979,283280.5411867855,-98.96341499999994
F2_27_D,F2,SQ1_3_4,SQ1_3,SQ1,3,4,NA,NA,UCD,38.5325,-121.783,16,Mid,1921.036585,36.56435,-118.7764,0.2988229338668648,0.32476525380325294,0.4284632036279818,0.4635438006261669,344080.5527561202,1905.036585
B_11_C,D,SQ1_3_1,SQ1_3,SQ1,3,1,NA,NA,WL2,38.82599,-120.2509,2020,Mid,1921.036585,36.56435,-118.7764,0.27140493582975944,0.23946004706235813,0.45484279394578625,0.4493608142602979,283280.5411867855,-98.96341499999994
H_19_D,K,SQ1_3_6,SQ1_3,SQ1,3,6,NA,NA,WL2,38.82599,-120.2509,2020,Mid,1921.036585,36.56435,-118.7764,0.27140493582975944,0.23946004706235813,0.45484279394578625,0.4493608142602979,283280.5411867855,-98.96341499999994
D2_22_B,D2,SQ1_4_4,SQ1_4,SQ1,4,4,2.3,3,UCD,38.5325,-121.783,16,Mid,1921.036585,36.56435,-118.7764,0.2988229338668648,0.32476525380325294,0.4284632036279818,0.4635438006261669,344080.5527561202,1905.036585
H2_27_B,H2,SQ1_4_2,SQ1_4,SQ1,4,2,1.7,1.8,UCD,38.5325,-121.783,16,Mid,1921.036585,36.56435,-118.7764,0.2988229338668648,0.32476525380325294,0.4284632036279818,0.4635438006261669,344080.5527561202,1905.036585
J2_30_B,J2,SQ1_4_13,SQ1_4,SQ1,4,13,2.5,2.4,UCD,38.5325,-121.783,16,Mid,1921.036585,36.56435,-118.7764,0.2988229338668648,0.32476525380325294,0.4284632036279818,0.4635438006261669,344080.5527561202,1905.036585
C_47_D,E,SQ1_4_7,SQ1_4,SQ1,4,7,1.4,3.8,WL2,38.82599,-120.2509,2020,Mid,1921.036585,36.56435,-118.7764,0.27140493582975944,0.23946004706235813,0.45484279394578625,0.4493608142602979,283280.5411867855,-98.96341499999994
C_48_D,E,SQ1_4_2,SQ1_4,SQ1,4,2,3.2,2.3,WL2,38.82599,-120.2509,2020,Mid,1921.036585,36.56435,-118.7764,0.27140493582975944,0.23946004706235813,0.45484279394578625,0.4493608142602979,283280.5411867855,-98.96341499999994
D1_6_D,D1,SQ1_5_9,SQ1_5,SQ1,5,9,NA,NA,UCD,38.5325,-121.783,16,Mid,1921.036585,36.56435,-118.7764,0.2988229338668648,0.32476525380325294,0.4284632036279818,0.4635438006261669,344080.5527561202,1905.036585
L1_4_C,L1,SQ1_5_13,SQ1_5,SQ1,5,13,NA,NA,UCD,38.5325,-121.783,16,Mid,1921.036585,36.56435,-118.7764,0.2988229338668648,0.32476525380325294,0.4284632036279818,0.4635438006261669,344080.5527561202,1905.036585
A_46_D,B,SQ1_5_10,SQ1_5,SQ1,5,10,3.7,2.2,WL2,38.82599,-120.2509,2020,Mid,1921.036585,36.56435,-118.7764,0.27140493582975944,0.23946004706235813,0.45484279394578625,0.4493608142602979,283280.5411867855,-98.96341499999994
